WLmean_5721442,RHmean_GK48617,SFmean_5721442,RFmean_5920012,TXmean_GK48617,SFmean_6019411,RFmean_6121001,TNmean_KB48615,TMmean_GK48617,RHmean_KB48615,Cases
0.205697289,0.508226691,0.039905987,0.088151703,0.527960526,0.358171759,0.02126445,0.440092166,0.432160804,0.791208791,Low
0.230980437,0.539914686,0.050948508,0.069049061,0.667763158,0.314146398,0.003425146,0.306451613,0.5,0.69424693,Low
0.33176982,0.335770871,0.09220664,0.046824768,0.5625,0.440340171,0.219066648,0.748847926,0.635678392,0.492566257,Low
0.23750143,0.702010969,0.052049338,0.033872245,0.529605263,0.249318359,0.085200514,0.51843318,0.668341709,0.752424047,Low
0.227662739,0.72638635,0.049571585,0.068117225,0.559210526,0.481707493,0.161410019,0.442396313,0.766331658,0.705235941,Low
0.353620867,0.792809262,0.129618355,0.091832456,0.595394737,0.408508612,0.232339089,0.548387097,0.541457286,0.595992243,Low
0.347786294,0.732480195,0.102568368,0.028607371,0.569078947,0.632988546,0.129013843,0.610599078,0.547738693,0.515837104,Low
0.204553255,0.62400975,0.039660571,0,0.626644737,0.255128538,0.058512916,0.48156682,0.673366834,0.595345831,Low
0.185333486,0.505179768,0.032692185,0.056609048,0.53125,0.199392654,0.010846297,0.6359447,0.650753769,0.371040724,Low
0.138428097,0.444241316,0.019679261,0.001770489,0.521381579,0.093889754,0.128442986,0.656682028,0.407035176,0.691014867,Low
0.133508752,0.318708105,0.018462802,0.001257979,0.537828947,0.074518884,0.001998002,0.550691244,0.464824121,0.472527473,Low
0.14288983,0.288848263,0.02089218,0,0.519736842,0.051133905,0.014414157,0.433179724,0.582914573,0.556561086,Low
0.12973344,0.62400975,0.018257502,0.052881703,0.258223684,0.086921867,0.000428143,0.571428571,0.527638191,0.634130575,Low
0.169545819,0.421084704,0.02772252,0.003680753,0.246710526,0.144435789,0.107749393,0.610599078,0.557788945,0.43438914,Low
0.130305457,0.335770871,0.017925955,0.010063831,0.305921053,0.064431317,0.133580705,0.693548387,0.469849246,0.484162896,Low
0.102391031,0.479585618,0.012204705,0.03168243,0.537828947,0.071258548,0.063650635,0.723502304,0.469849246,0.412411118,Low
0.111314495,0.651432054,0.013894297,0.011182034,0.233552632,0.085562192,0.000713572,0.728110599,0.457286432,0.407239819,Low
0.162338405,0.592321755,0.026770355,0.040068956,0.179276316,0.091678929,0.090623662,0.652073733,0.630653266,0.302521008,Low
0.131563894,0.576477757,0.018315317,0.00489214,0.342105263,0.084144811,0.00999001,0.622119816,0.484924623,0.610859729,Low
0.153414941,0.61182206,0.023510339,0.038904161,0.305921053,0.117736374,0.084201513,0.739631336,0.429648241,0.510665805,Low
0.149182016,0.594759293,0.022519238,0.038764385,0.108552632,0.185489339,0.000713572,0.774193548,0.39321608,0.499676794,Low
0.169317012,0.635588056,0.028879985,0.019009458,0.154605263,0.183981794,0.083487941,0.631336406,0.442211055,0.354234001,Low
0.139915341,0.634369287,0.019947094,0.022597027,0.052631579,0.082774315,0.019266448,0.525345622,0.361809045,0.349709114,Low
0.103191854,0.710542352,0.012413544,0.000931836,0.179276316,0.037039441,0.086342229,0.725806452,0.530150754,0.475113122,Low
0.113602563,0.495734308,0.014537333,0.051483949,0.023026316,0.049590294,0.008562866,0.631336406,0.349246231,0.504848093,Low
0.105365519,0.522242535,0.012769869,0.033779062,0.370065789,0.054664734,0.068502926,0.612903226,0.364321608,0.432449903,Low
0.088205011,0.494210847,0.009893315,0.015841215,0.208881579,0.030017456,0.072070786,0.497695853,0.296482412,0.409179056,Low
0.063608283,0.41773309,0.006177865,0.00489214,0.171052632,0.021949566,0.079206508,0.516129032,0.386934673,0.335918983,Low
0.060519391,0.383302864,0.005784964,0.000931836,0.350328947,0.017405292,0.011417154,0.599078341,0.206030151,0.353156647,Low
0.069214049,0.502132846,0.006948328,0.0244607,0.429276316,0.022230878,0.008562866,0.707373272,0.188442211,0.326438268,Low
0.081112001,0.319926874,0.008922272,0.024926618,0.536184211,0.021206613,0,0.585253456,0.193467337,0.308985133,Low
0.096670861,0.46496039,0.011316253,0.06336486,0.277960526,0.032776479,0.044955045,0.559907834,0.32160804,0.43956044,Low
