WLmean_5721442,RHmean_GK48617,RFmean_5920012,SFmean_5721442,RFmean_6023001,RFmean_5922001,RFmean_6021010,RFd5p.d95p_5921009,RFd5p.d95p_6022001,RFd1mm.d50mm_6021013,RFd5p.d95p_6121015,TMd10p.d90p_GK4861,TMd10p.d90p_KB48615,RHd10p.d90p_KB48615,TNd10p.d90p_GK48617,RFd1mm.d50mm_6120014,RFd5p.d95p_6121067,RFd5p.d95p_KB48615,RFd5p.d95p_6122064,Cases
0.205697289,0.508226691,0.088151703,0.039905987,0.102594514,0.380952381,0.161721068,0,0,0.142857143,1,1,1,1,0.428571429,0.285714286,0.142857143,0.142857143,0,Low
0.230980437,0.539914686,0.069049061,0.050948508,0.183839881,0.066847335,0.201285856,0.571428571,0.285714286,0,0.571428571,1,1,0.857142857,0.571428571,0.428571429,0.285714286,0,0.285714286,Low
0.33176982,0.335770871,0.046824768,0.09220664,0.243736101,0.143115241,0.111152324,0.571428571,0.428571429,0.857142857,0,0.428571429,1,0.714285714,0.857142857,1,0.142857143,0,0,Low
0.23750143,0.702010969,0.033872245,0.052049338,0.059303188,0.097431927,0.134767557,1,0,0.428571429,0.285714286,1,0.714285714,0.857142857,0.571428571,0.428571429,0.428571429,0.428571429,0.428571429,Low
0.227662739,0.72638635,0.068117225,0.049571585,0.37879911,0.031616983,0.204005935,0.714285714,0.571428571,0.142857143,0.428571429,1,0.571428571,0.857142857,0.428571429,0.285714286,0.571428571,0.857142857,0.714285714,Low
0.353620867,0.792809262,0.091832456,0.129618355,0.146182357,0.169570267,0.212166172,0.285714286,0.857142857,0.142857143,0.142857143,1,1,1,1,0,1,0.714285714,0.714285714,Low
0.347786294,0.732480195,0.028607371,0.102568368,0.166048925,0.006452445,0.107566766,0,0.714285714,0.428571429,0.571428571,0.857142857,1,0.571428571,1,0,0.714285714,0.428571429,0.714285714,Low
0.204553255,0.62400975,0,0.039660571,0.058561898,0,0,0.142857143,0.714285714,0,0.571428571,1,0.714285714,0.285714286,0.571428571,0,0.285714286,0,0.142857143,Low
0.185333486,0.505179768,0.056609048,0.032692185,0.036323202,0,0.110286845,0.285714286,0.142857143,0.285714286,1,1,0.714285714,0.714285714,0.857142857,0,0.428571429,0.142857143,0.285714286,Low
0.138428097,0.444241316,0.001770489,0.019679261,0.162194218,0.194605756,0.006800198,0.285714286,0,0.571428571,0.571428571,1,1,1,1,0,0.142857143,0.285714286,0.428571429,Low
0.133508752,0.318708105,0.001257979,0.018462802,0.006078577,0.053684346,0.003709199,0.714285714,0.285714286,0.714285714,0.571428571,1,1,1,0.857142857,0,0.142857143,0,0,Low
0.14288983,0.288848263,0,0.02089218,0.00074129,0.009936766,0,0.428571429,0,0.714285714,0.142857143,1,1,1,0.714285714,0,0.571428571,0.285714286,0.428571429,Low
0.12973344,0.62400975,0.052881703,0.018257502,0,0.023228804,0.169386746,0.857142857,0.571428571,0,0.285714286,1,1,1,1,0.285714286,0.428571429,0.428571429,0.857142857,Low
0.169545819,0.421084704,0.003680753,0.02772252,0.218680504,0.092915215,0.023986152,0.428571429,0.714285714,0.142857143,0.142857143,1,0.857142857,0.857142857,1,0.571428571,0.285714286,0.285714286,0.142857143,Low
0.130305457,0.335770871,0.010063831,0.017925955,0.082134915,0.087882307,0.045252226,0.571428571,0.428571429,0.142857143,0.428571429,1,1,1,0.714285714,0.285714286,0.714285714,0.571428571,0.571428571,Low
0.102391031,0.479585618,0.03168243,0.012204705,0.057079318,0.004387663,0.085929773,0.571428571,0.714285714,0.142857143,0.857142857,1,0.857142857,1,0.857142857,0,0.571428571,0.714285714,0.285714286,Low
0.111314495,0.651432054,0.011182034,0.013894297,0.010378058,0.038714673,0.037710188,0.857142857,0.285714286,0.142857143,0.142857143,0.857142857,1,1,0.571428571,0.285714286,0.714285714,0.857142857,1,Low
0.162338405,0.592321755,0.040068956,0.026770355,0.122312824,0.071622145,0.080365974,0.571428571,0.857142857,0.428571429,0.285714286,1,0.857142857,1,1,0.285714286,0.571428571,0.571428571,0.571428571,Low
0.131563894,0.576477757,0.00489214,0.018315317,0.079614529,0.143889534,0.009272997,0.571428571,0.428571429,0.285714286,0.714285714,1,1,1,1,0.142857143,0.142857143,0.428571429,0.857142857,Low
0.153414941,0.61182206,0.038904161,0.023510339,0.031430689,0.010323913,0.074802176,0.428571429,0.714285714,0.428571429,0.857142857,1,1,1,1,0,0.142857143,0.428571429,0.428571429,Low
0.149182016,0.594759293,0.038764385,0.022519238,0.011860638,0.016131114,0.143793274,0.714285714,0.571428571,0.142857143,0.714285714,1,1,1,1,0,0.571428571,0.285714286,0.428571429,Low
0.169317012,0.635588056,0.019009458,0.028879985,0.259451446,0.027745516,0.128832839,0.428571429,0.428571429,0.571428571,0.285714286,1,1,1,0.714285714,0,0.714285714,0.857142857,0.571428571,Low
0.139915341,0.634369287,0.022597027,0.019947094,0.110452187,0,0.06367458,0.142857143,0.857142857,0.428571429,0.142857143,1,1,1,0.428571429,0,1,0.714285714,0.714285714,Low
0.103191854,0.710542352,0.000931836,0.012413544,0.011119348,0,0.001854599,0.428571429,0.428571429,0.142857143,0.571428571,1,1,1,1,0,0.285714286,0.285714286,0.285714286,Low
0.113602563,0.495734308,0.051483949,0.014537333,0.011119348,0,0.129821958,0.714285714,0.571428571,0.142857143,0.571428571,0.857142857,0.857142857,1,0.857142857,0,0,0.285714286,0.142857143,Low
0.105365519,0.522242535,0.033779062,0.012769869,0.032913269,0,0.06120178,0.857142857,0.428571429,0.142857143,0.857142857,1,1,1,1,0,0.571428571,0.428571429,0.714285714,Low
0.088205011,0.494210847,0.015841215,0.009893315,0.054410675,0.000645245,0.029426311,0.571428571,0.428571429,0.714285714,0.428571429,0.428571429,0.857142857,1,0.571428571,0.285714286,0.428571429,0.142857143,0.285714286,Low
0.063608283,0.41773309,0.00489214,0.006177865,0.054114159,0.11601497,0.073813056,1,0.428571429,0.714285714,0.285714286,0.571428571,1,1,0.428571429,0,0.571428571,0.571428571,0.571428571,Low
0.060519391,0.383302864,0.000931836,0.005784964,0.00222387,0.049812879,0.003090999,0.285714286,0.714285714,0.285714286,0.428571429,0.714285714,0.571428571,0.571428571,0.714285714,0.142857143,0.571428571,0.428571429,0.285714286,Low
0.069214049,0.502132846,0.0244607,0.006948328,0.005930319,0.041940896,0.029055391,0.571428571,0.285714286,0.142857143,0.285714286,0.714285714,0.714285714,0.285714286,1,0,0.714285714,0.571428571,0.714285714,Low
0.081112001,0.319926874,0.024926618,0.008922272,0.020014826,0.023874048,0.065529179,0.571428571,0.571428571,0.285714286,0.714285714,0.428571429,0.571428571,0.571428571,0.714285714,0,0.428571429,0.428571429,0.142857143,Low
