RFmax_5920012,RHmax_KB48615,RHmax_GK48617,SFmax_5721442,WLmax_5721442,RHmin_GK48617,WLmax_6019411,TXmin_GK48617,SFmax_6019411,RFmax_6121067,Cases
0.028838522,0.8,0.571428571,0.035425375,0.194010417,0.435251799,0.366442953,0.650943396,0.399842022,0.03797964,Low
0.086956522,0.554166667,0.718487395,0.083341434,0.326171875,0.59352518,0.217449664,0.575471698,0.437485895,0.092012529,Low
0.042243584,0.8,0.319327731,0.080230913,0.319010417,0.751798561,0.173154362,0.716981132,0.409049876,0.457713391,Low
0.045065702,0.820833333,0.827731092,0.045507566,0.223958333,0.755395683,0.155704698,0.433962264,0.773595125,0.084181676,Low
0.033071699,0.6,0.718487395,0.059580512,0.264322917,0.683453237,0.10738255,0.556603774,0.623967502,0.090837901,Low
0.115265896,0.745833333,0.823529412,0.240266122,0.579427083,0.59352518,0.479194631,0.632075472,0.737305349,0.199686766,Low
0.071523062,0.816666667,0.794117647,0.139374008,0.444661458,0.507194245,0.438926174,0.650943396,0.529519296,0.025450274,Low
0.02645736,0.5,0.726890756,0.042116234,0.214192708,0.449640288,0.432214765,0.490566038,0.279440307,0.332419734,Low
0,0.758333333,0.62605042,0.027708475,0.169270833,0.370503597,0.677852349,0.632075472,0.136131799,0.001566171,Low
0.077079108,0.641666667,0.567226891,0.01648684,0.127604167,0.330935252,0.52885906,0.641509434,0.10130896,0.190289742,Low
0.002998501,0.625,0.25210084,0.014375358,0.117838542,0.604316547,0.455033557,0.528301887,0.076732115,0.001174628,Low
0.002381162,0.566666667,0.289915966,0.018522719,0.13671875,0.467625899,0.245637584,0.669811321,0.221868653,0.015661707,Low
0,0.541666667,0.588235294,0.022238063,0.151041667,0.345323741,0.126174497,0.613207547,0.21394719,0.01174628,Low
0.063585854,0.479166667,0.386554622,0.023166899,0.154296875,0.492805755,0.15704698,0.188679245,0.092529903,0.211824589,Low
0.005732428,0.358333333,0.424369748,0.017923295,0.134114583,0.64028777,0.236241611,0.226415094,0.137711578,0.090054816,Low
0.00881912,0.383333333,0.596638655,0.008796941,0.0859375,0.59352518,0.320805369,0.29245283,0.118370571,0.073218481,Low
0.057765235,0.254166667,0.676470588,0.011939863,0.104817708,0.589928058,0.304697987,0.613207547,0.17614534,0,Low
0.017814622,0.8,0.550420168,0.023782523,0.15625,0.633093525,0.213422819,0.254716981,0.113586098,0.21495693,Low
0.044360173,0.504166667,0.56302521,0.016729849,0.12890625,0.586330935,0.420134228,0.283018868,0.18408937,0.114722005,Low
0.007937208,0.4125,0.663865546,0.023355906,0.154947917,0.629496403,0.536912752,0.471698113,0.338478899,0.135865309,Low
0.033953611,0.320833333,0.655462185,0.019100541,0.139322917,0.615107914,0.319463087,0.226415094,0.251726473,0.060689115,Low
0.040126995,0.304166667,0.609243697,0.031629027,0.182291667,0.73381295,0.334228188,0.103773585,0.117219589,0.099843383,Low
0.022929712,0.633333333,0.605042017,0.014785774,0.119791667,0.496402878,0.346308725,0.273584906,0.046738885,0,Low
