RFd95p_5920012,RFd50mm_5920012,RHd90p_GK48617,RHd10p_GK48617,RFd95p_6022001,TNd90p_GK48617,TNd23_GK48617,TXd90p_GK48617,TNd90p_KB48615,RFd95p_6121067,RFd95p_KB48615,RHd90p_KB48615,RHd10p_KB48615,TNd10p_GK48617,RFd95p_6022062,TXd10p_KB48615,TNd10p_KB48615,TNd23_KB48615,RFd95p_6121015,RFd95p_6122064,RFd95p_6121001,TXd90p_KB48615,RFd95p_6021013,TXd34_GK48617,RFd50mm_6022001,TXd10p_GK48617,RFd95p_6021010,RFd95p_6120014,RFd95p_6023001,RFd50mm_6023001,RFd50mm_5922001,RFd95p_5921009,RFd95p_5922001,RFd50mm_6021060,RFd95p_6021060,RFd50mm_KB48615,RFd50mm_6121067,RFd50mm_6022062,RFd50mm_6021013,Cases
0.333333333,0.285714286,0,0,0.2,0.142857143,0.571428571,0,0,0,0,0.714285714,0,0.428571429,0,1,0.571428571,0.428571429,0,0,0,0,0,0,0,0.5,0.4,0.142857143,0,0,0,0.166666667,0,0,0.142857143,0,0,0,0,Low
0,0,0.142857143,0,0,0,0.571428571,0,0.142857143,0,0.2,0.428571429,0.142857143,0.428571429,0,0.714285714,0.714285714,0.714285714,0,0.166666667,0,0,0.285714286,0,0,0.571428571,0.4,0.428571429,0,0,0,0.166666667,0,0,0.285714286,0,0.2,0,0,Low
0,0.142857143,0,0,0.4,0.142857143,0,0,0.142857143,0.5,0.2,0.142857143,0.285714286,0,0,0.142857143,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
0,0,0,0,0.2,0,0.571428571,0,0,0,0,0.571428571,0.142857143,0.428571429,0,0,0.428571429,0.428571429,0,0,0.333333333,0,0.142857143,0,0,0.142857143,0.2,0.142857143,0,0.5,0,0.166666667,0,0,0.142857143,0,0,0,0,Low
0.166666667,0.142857143,0,0.142857143,0.2,0,0.571428571,0.142857143,0,0,0.4,0.428571429,0.142857143,0.571428571,0,0.571428571,0.571428571,0.428571429,0,0,0,0,0.142857143,0,0,0.714285714,0.2,0.142857143,0,0.25,0,0.166666667,0,0,0.142857143,0,0.6,0,0,Low
0.166666667,0.142857143,0,0.142857143,0,0,0.285714286,0,0.142857143,0.166666667,0.2,0.142857143,0,0,0.285714286,0,0.285714286,0.142857143,0.6,0.166666667,0.166666667,0,0,0,0,0.571428571,0.4,0,0.6,0.25,0.2,0,0.2,0.4,0,0,0,0.2,0.333333333,Low
0,0,0,0,0,0,0.142857143,0,0.142857143,0,0.2,0.142857143,0.428571429,0,0.142857143,0,0,0,0,0,0.333333333,0,0,0,0,0,0.2,0,0.2,0.25,0,0,0,0,0.142857143,0.4,0,0.2,0,Low
0,0,0,0,0.2,0,0.428571429,0.142857143,0,0.166666667,0,0.428571429,0.714285714,0.428571429,0,0,0.142857143,0.142857143,0,0,0,0,0,0,0,0.142857143,0,0,0.2,0,0,0,0,0,0,0,0.4,0,0,Low
0.166666667,0.142857143,0,0.142857143,0,0,0.142857143,0,0,0,0,0,0.285714286,0.142857143,0.142857143,0,0,0,0.6,0,0,0,0.142857143,0,0,0.142857143,0,0,0.4,0,0,0.166666667,0,0.2,0.142857143,0.2,0,0.2,0.166666667,Low
0,0,0,0,0,0,0,0,0,0.166666667,0.2,0.571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,Low
0,0,0,0,0,0,0.142857143,0,0,0,0,0.285714286,0,0.142857143,0,0.285714286,0,0,0.2,0,0,0,0,0,0,0.428571429,0,0,0,0,0.2,0,0.2,0,0,0,0.2,0,0,Low
0,0,0,0,0,0,0.285714286,0,0,0,0,0.285714286,0,0.285714286,0,0.142857143,0.428571429,0.428571429,0.2,0.166666667,0,0,0,0,0,0.142857143,0,0,0,0,0.2,0,0.2,0.2,0,0,0,0,0,Low
0,0.142857143,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0.571428571,0,0,0,0,0.333333333,0,0.142857143,0,0,0.142857143,0.2,0.142857143,0,0,0,0.166666667,0,0,0.142857143,0,0.2,0,0,Low
0,0,0.428571429,0,0,0,0,0,0,0.166666667,0.2,0,0.142857143,0,0,0.285714286,0,0,0,0,0.166666667,0.142857143,0,0,0,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
0,0,0.857142857,0,0,0,0,0,0.142857143,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.166666667,Low
0,0.142857143,0.428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,Low
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0.142857143,0,0,0,0,0,0,0.142857143,0,0,0,0,Low
0,0.142857143,0.571428571,0,0,0,0,0,0,0.166666667,0.2,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0.25,0,0.2,0,0,0,0,0.166666667,0,0,0,0,0,0,0,Low
0,0,0.571428571,0,0,0,0,0,0,0,0.2,0.285714286,0,0,0.142857143,0,0,0,0,0,0,0,0.142857143,0,0.75,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0,Low
0,0,0.285714286,0,0,0,0,0,0,0.166666667,0,0,0,0,0.142857143,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0,0.2,0.4,0.142857143,0,0,0,0,Low
0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.285714286,0.2,0,0,0,Low
0,0,0.428571429,0,0,0,0.285714286,0,0,0,0.2,0,0,0.285714286,0,0,0,0,0,0.333333333,0.166666667,0,0,0,0.25,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Low
0,0,0.571428571,0,0,0,0.714285714,0,0,0,0,0,0,0.571428571,0,0,0.142857143,0.142857143,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0.166666667,0.2,0,0.142857143,0,0.2,0,0,Low
0,0,0.714285714,0,0,0,0,0,0,0.166666667,0,0.142857143,0,0,0.142857143,0,0,0,0.2,0,0,0,0,0,0.5,0,0,0,0.2,0,0.6,0,0.6,0,0,0,0,0,0,Low
0,0.142857143,0.142857143,0,0,0,0.142857143,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0.666666667,0,0,0.142857143,0,0,0,0.2,0,0,0,0.2,0.166666667,0.2,0,0.142857143,0,0,0,0,Low
0,0,1,0,0,0,0.142857143,0,0,0,0.2,0,0,0,0,0,0.142857143,0.142857143,0.2,0,0,0,0,0,0.25,0,0,0,0,0,0.2,0.166666667,0.2,0,0,0,0,0,0,Low
