SFmax_5721442,TXmin_GK48617,RHmax_GK48617,RFmax_6022062,RFmax_6122064,RFmax_KB48615,RFmax_6021010,RFmax_6120014,RFmax_6121001,RFd50mm_5920012,RHd10p_GK48617,RFd95p_6022001,RHd90p_KB48615,TXd90p_GK48617,TNd90p_GK48617,Cases
0.035425375,0.650943396,0.571428571,0.011526833,0.0081103,0.164818921,0.115013649,0,0.003060912,0.285714286,0,0.2,0.714285714,0,0.142857143,Low
0.083341434,0.575471698,0.718487395,0.002834467,0,0.235772358,0.114467698,0.005529954,0.028466483,0,0,0,0.428571429,0,0,Low
0.080230913,0.716981132,0.319327731,0.002834467,0,0.394678492,0.065514104,0.011059908,0,0.142857143,0,0.4,0.142857143,0,0.142857143,Low
0.045507566,0.433962264,0.827731092,0.037792895,0.02919708,0.683665928,0.159053685,0.002764977,0.398530762,0,0,0.2,0.571428571,0,0,Low
0.059580512,0.556603774,0.718487395,0,0,0.102734664,0.273521383,0.013824885,0.067340067,0.142857143,0.142857143,0.2,0.428571429,0.142857143,0,Low
0.240266122,0.632075472,0.823529412,0.232804233,0.260746148,0.43902439,0.095905369,0.060460829,0.11325375,0.142857143,0.142857143,0,0.142857143,0,0,Low
0.139374008,0.650943396,0.794117647,0.097316704,0.014193025,0.561714708,0.095541401,0.000921659,0.281603918,0,0,0,0.142857143,0,0,Low
0.042116234,0.490566038,0.726890756,0.0574452,0.220600162,0.045084996,0,0.164976959,0.022956841,0,0,0.2,0.428571429,0.142857143,0,Low
0.027708475,0.632075472,0.62605042,0.123771731,0.313057583,0.390243902,0.053139217,0.045529954,0.004591368,0.142857143,0.142857143,0,0,0,0,Low
0.01648684,0.641509434,0.567226891,0.064247921,0.008515815,0.185513673,0.009281165,0.073732719,0,0,0,0,0.571428571,0,0,Low
0.014375358,0.528301887,0.25210084,0.001889645,0.006082725,0.192904656,0.005459509,0.190967742,0,0,0,0,0.285714286,0,0,Low
0.018522719,0.669811321,0.289915966,0.036848073,0.030413625,0.070953437,0,0.001843318,0.012243649,0,0,0,0.285714286,0,0,Low
0.022238063,0.613207547,0.588235294,0,0,0.021433851,0.153230209,0.000921659,0.126721763,0.142857143,0,0,0.142857143,0,0,Low
0.023166899,0.188679245,0.386554622,0.000944822,0.068937551,0.187730968,0.025477707,0.006451613,0.145699418,0,0,0,0,0,0,Low
0.017923295,0.226415094,0.424369748,0.038737717,0.105433901,0.016999261,0.041856233,0.047926267,0.005509642,0,0,0,0,0,0,Low
0.008796941,0.29245283,0.596638655,0.026455026,0.0243309,0,0.063694268,0.010138249,0.00765228,0.142857143,0,0,0,0,0,Low
0.011939863,0.613207547,0.676470588,0.010770975,0.023114355,0.000739098,0.051865332,0.05437788,0.094888277,0,0,0,0,0,0,Low
0.023782523,0.254716981,0.550420168,0.024565382,0.00405515,0.237250554,0.091537762,0.079262673,0.140189777,0.142857143,0,0,0,0,0,Low
0.016729849,0.283018868,0.56302521,0.07898715,0.105028386,0.235033259,0.010919017,0.00202765,0.071931436,0,0,0,0.285714286,0,0,Low
0.023355906,0.471698113,0.663865546,0.090702948,0.141930251,0.011825573,0.080072793,0.008294931,0.001530456,0,0,0,0,0,0,Low
0.019100541,0.226415094,0.655462185,0.01606198,0.062854826,0.112342942,0.067151956,0.082211982,0.089684726,0,0,0,0,0,0,Low
0.031629027,0.103773585,0.609243697,0.027399849,0.0162206,0.206947524,0.117379436,0.036313364,0.136210591,0,0,0,0,0,0,Low
0.014785774,0.273584906,0.605042017,0.010393046,0.018248175,0.181079084,0.073339399,0.0359447,0.097030915,0,0,0,0,0,0,Low
0.011394442,0.254716981,0.663865546,0.082199546,0.198702352,0.03473762,0.002729754,0.000921659,0.077747169,0,0,0,0.142857143,0,0,Low
0.012571688,0.141509434,0.504201681,0.027210884,0.03325223,0.065779749,0.119199272,0.014930876,0.001530456,0.142857143,0,0,0.142857143,0,0,Low
0.009407165,0.20754717,0.62605042,0.038926682,0.0486618,0.173688101,0.042948135,0.061751152,0.016222834,0,0,0,0,0,0,Low
0.009520569,0.481132075,0.470588235,0.025510204,0.002027575,0.133776792,0.031847134,0.014193548,0.085399449,0,0,0,0,0,0,Low
0.00436877,0.273584906,0.43697479,0.010393046,0.051500406,0.077974871,0.058234759,0.035760369,0.271808999,0,0,0,0,0,0,Low
0.00463878,0.320754717,0.420168067,0.014172336,0.02027575,0.003695492,0.004549591,0.049769585,0.057545148,0,0,0,0,0,0,Low
0.004978993,0.481132075,0.521008403,0.060468632,0.154095702,0.227642276,0.025477707,0.115207373,0.041322314,0,0,0,0,0,0,Low
0.00876454,0.528301887,0.378151261,0.027966742,0.085158151,0.165558019,0.063694268,0.024147465,0.016835017,0,0,0,0,0,0,Low
0.009639374,0.669811321,0.365546218,0.074640967,0.060827251,0.031042129,0.080800728,0.053456221,0.037955311,0.142857143,0,0,0,0,0,Low
0.008040912,0.08490566,0.592436975,0.011337868,0.010137875,0.118994826,0.044585987,0.08202765,0.046525865,0,0,0,0,0,0,Low
0.004428172,0.518867925,0.62605042,0.052910053,0.0324412,0.029563932,0.093175614,0.063963134,0.123966942,0,0,0,0,0,0,Low
0.002737906,0.405660377,0.537815126,0.018896447,0.034468775,0.016999261,0.013648772,0.019354839,0.041322314,0,0,0,0,0,0,Low
0.009110153,0.669811321,0.823529412,0.053665911,0.126926196,0.225424982,0.089171975,0.027281106,0.053872054,0,0,0,0,0,0,Low
0.00644785,0.660377358,0.915966387,0.03968254,0.067315491,0.11308204,0.053867152,0.017511521,0.069788797,0,0,0,0,0,0,Low
0.017831492,0.537735849,0.907563025,0.03420257,0.062449311,0.031781227,0.085532302,0.096774194,0.213039486,0.142857143,0,0.2,0,0,0,Low
0.005740423,0.490566038,0.575630252,0.029667423,0.069343066,0.018477458,0.072793449,0.064516129,0.065809611,0,0,0,0,0,0,Low
0.008224519,0.716981132,0.890756303,0.068027211,0.356447689,0.062823356,0.008735214,0.050691244,0.133761861,0,0,0,0,0,0,Low
0.011167633,0.820754717,0.928571429,0.08276644,0.117599351,0.161123429,0.017288444,0.051981567,0.607591062,0,0,0,0,0,0,Low
0.014116148,0.764150943,0.668067227,0.038548753,0.123276561,0.082039911,0.106460419,0.138801843,0.022344659,0,0,0,0,0,0,Low
0.006890667,0.716981132,0.840336134,0.390400605,0.666666667,0.227642276,0.04822566,0.019354839,0.004591368,0,0,0,0,0,0,Low
0.006059035,0.735849057,0.911764706,0.017384732,0.069748581,0.049519586,0.040764331,0.053456221,0.261707989,0,0,0,0,0,0,Low
0.007965309,0.716981132,0.760504202,0.075774754,0.064882401,0.040650407,0.006369427,0.534009217,0.052035507,0,0,0.2,0,0,0,Low
0.019883571,0.537735849,0.861344538,0.130952381,0.362124899,0.070214339,0.038762511,0.023778802,0.285277013,0,0,0,0,0,0,Low
0.009774379,0.669811321,0.878151261,0.029289494,0.089618816,0.091648189,0.06132848,0.129953917,0.434649526,0,0,0,0,0,0,Low
0.005340807,0.679245283,0.857142857,0.196712018,0.236415247,0.10421286,0.009099181,0.172165899,0.08815427,0,0,0,0,0,0,Low
0.009007549,0.783018868,0.840336134,0.225056689,0.472830495,0.077605322,0.079344859,0.045529954,0.093357821,0,0,0,0,0,0,Low
0.013100908,0.735849057,0.886554622,0.048941799,0.172343877,0.048780488,0.001819836,0.258064516,0.019283747,0,0,0,0,0,0,Low
0.007252481,0.528301887,0.74789916,0.108843537,0.095296026,0.206947524,0.017652411,0.170506912,0.220079584,0,0,0,0,0,0,Low
0.018517318,0.641509434,0.647058824,0.01606198,0.003649635,0.090169993,0.01255687,0,0.002142639,0,0,0,0.428571429,0.142857143,0,Low
0.008921146,0.688679245,0.609243697,0.211451247,0.269667478,0.0436068,0.008189263,0,0.030609122,0,0,0.2,0.285714286,0,0,Low
