RFmax_5920012,WLmean_5721442,SFmean_5721442,RFmean_5920012,RHmean_GK48617,WLmax_5721442,TXmean_GK48617,RHmin_GK48617,RFmean_6021060,SFmean_6019411,RHmax_KB48615,TNmean_KB48615,TMmean_GK48617,RHmin_KB48615,RHmean_KB48615,TXmin_GK48617,RFmean_6022001,TXmin_KB48615,Cases
0.028838522,0.205697289,0.039905987,0.088151703,0.508226691,0.194010417,0.527960526,0.435251799,0.047671113,0.358171759,0.8,0.440092166,0.432160804,0.820338983,0.791208791,0.650943396,0.081062291,0.656862745,Low
0.086956522,0.230980437,0.050948508,0.069049061,0.539914686,0.326171875,0.667763158,0.59352518,0.079597638,0.314146398,0.554166667,0.306451613,0.500000001,0.73559322,0.694246929,0.575471698,0.173665184,0.617647059,Low
0.042243584,0.331769821,0.09220664,0.046824768,0.335770871,0.319010417,0.5625,0.751798561,0.266345943,0.440340171,0.8,0.748847926,0.635678392,0.569491525,0.492566257,0.716981132,0.248331479,0.725490196,Low
0.045065702,0.23750143,0.052049338,0.033872245,0.702010969,0.223958333,0.529605264,0.755395683,0.067570523,0.249318359,0.820833333,0.518433179,0.668341708,0.701694915,0.752424047,0.433962264,0.09663515,0.568627451,Low
0.033071699,0.227662739,0.049571585,0.068117225,0.72638635,0.264322917,0.559210526,0.683453237,0.15186967,0.481707493,0.6,0.442396313,0.766331658,0.674576271,0.70523594,0.556603774,0.375139044,0.549019608,Low
0.115265896,0.353620867,0.129618355,0.091832456,0.792809262,0.579427083,0.595394737,0.59352518,0.173518478,0.408508613,0.745833333,0.548387097,0.541457286,0.701694915,0.595992243,0.632075472,0.096078977,0.598039216,Low
0.071523062,0.347786295,0.102568368,0.028607371,0.732480195,0.444661458,0.569078947,0.507194245,0.125738028,0.632988546,0.816666667,0.610599079,0.547738694,0.549152542,0.515837104,0.650943396,0.186874305,0.607843137,Low
0.02645736,0.204553255,0.039660571,0,0.62400975,0.214192708,0.626644737,0.449640288,0.124097966,0.255128538,0.5,0.481566821,0.673366834,0.525423729,0.595345831,0.490566038,0.062708565,0.519607843,Low
0,0.185333486,0.032692185,0.056609048,0.505179768,0.169270833,0.53125,0.370503597,0.006560245,0.199392654,0.758333333,0.6359447,0.650753768,0.477966102,0.371040724,0.632075472,0.035456062,0.715686275,Low
0.077079108,0.138428097,0.019679261,0.001770489,0.444241316,0.127604167,0.521381578,0.330935252,0.143669364,0.093889754,0.641666667,0.656682027,0.407035177,0.53559322,0.691014867,0.641509434,0.168242492,0.558823529,Low
0.002998501,0.133508752,0.018462802,0.001257979,0.318708105,0.117838542,0.537828948,0.604316547,0,0.074518884,0.625,0.550691244,0.464824122,0.538983051,0.472527472,0.528301887,0.002780868,0.637254902,Low
0.002381162,0.14288983,0.02089218,0,0.288848263,0.13671875,0.519736842,0.467625899,0.000546687,0.051133905,0.566666667,0.433179724,0.582914573,0.620338983,0.556561086,0.669811321,0,0.607843137,Low
0,0.12973344,0.018257502,0.052881703,0.62400975,0.151041667,0.258223684,0.345323741,0,0.086921867,0.541666667,0.571428571,0.527638191,0.725423729,0.634130575,0.613207547,0,0.568627451,Low
0.063585854,0.169545819,0.02772252,0.003680753,0.421084704,0.154296875,0.246710526,0.492805755,0.086376558,0.144435789,0.479166667,0.610599079,0.557788946,0.549152542,0.43438914,0.188679245,0.04810901,0.31372549,Low
0.005732428,0.130305457,0.017925955,0.010063831,0.335770871,0.134114583,0.305921052,0.64028777,0.017931336,0.064431317,0.358333333,0.693548387,0.469849247,0.583050847,0.484162896,0.226415094,0.006813126,0.196078431,Low
0.00881912,0.102391031,0.012204705,0.03168243,0.479585618,0.0859375,0.537828948,0.59352518,0.025256943,0.071258548,0.383333333,0.723502305,0.469849247,0.562711864,0.412411118,0.29245283,0.002085651,0.254901961,Low
0.057765235,0.111314495,0.013894297,0.011182034,0.651432054,0.104817708,0.233552631,0.589928058,0.001093374,0.085562192,0.254166667,0.728110598,0.457286432,0.555932203,0.407239819,0.613207547,0.004171301,0.529411765,Low
0.017814622,0.162338405,0.026770355,0.040068956,0.592321755,0.15625,0.179276315,0.633093525,0.091296742,0.091678929,0.8,0.652073732,0.630653267,0.474576271,0.302521008,0.254716981,0.000695217,0.18627451,Low
0.044360173,0.131563894,0.018315317,0.00489214,0.576477757,0.12890625,0.342105263,0.586330935,0.023507544,0.084144811,0.504166667,0.622119816,0.484924623,0.633898305,0.610859729,0.283018868,0.004171301,0.235294118,Low
0.007937208,0.153414941,0.023510339,0.038904161,0.61182206,0.154947917,0.305921052,0.629496403,0.034987973,0.117736374,0.4125,0.739631337,0.429648242,0.623728814,0.510665805,0.471698113,0.02016129,0.460784314,Low
0.033953611,0.149182016,0.022519238,0.038764385,0.594759293,0.139322917,0.108552631,0.615107914,0.111524164,0.185489339,0.320833333,0.774193548,0.393216081,0.654237288,0.499676794,0.226415094,0.005978865,0.274509804,Low
0.040126995,0.169317012,0.028879985,0.019009458,0.635588056,0.182291667,0.154605263,0.73381295,0.146184124,0.183981794,0.304166667,0.631336405,0.442211056,0.498305085,0.354234001,0.103773585,0.024610679,0.196078431,Low
0.022929712,0.139915342,0.019947094,0.022597027,0.634369287,0.119791667,0.052631578,0.496402878,0.020008747,0.082774315,0.633333333,0.525345623,0.361809045,0.494915254,0.349709114,0.273584906,0.038515017,0.323529412,Low
0.039686039,0.103191854,0.012413544,0.000931836,0.710542352,0.1015625,0.179276315,0.474820144,0.113710912,0.037039441,0.645833333,0.725806452,0.530150754,0.555932203,0.475113122,0.254716981,0.031701891,0.18627451,Low
0.001763824,0.113602563,0.014537333,0.051483949,0.495734308,0.108072917,0.023026316,0.507194245,0.00929368,0.049590294,0.470833333,0.631336405,0.349246232,0.610169492,0.504848093,0.141509434,0.004866518,0.205882353,Low
0.051591851,0.105365519,0.012769869,0.033779062,0.522242535,0.08984375,0.370065789,0.402877698,0.051388585,0.054664734,0.45,0.612903226,0.364321609,0.508474576,0.432449903,0.20754717,0.013209121,0.264705882,Low
0.032277979,0.088205011,0.009893315,0.015841215,0.494210847,0.090494792,0.208881579,0.431654676,0.054122021,0.030017456,0.298611111,0.497695853,0.296482413,0.576271186,0.409179056,0.481132075,0.031979978,0.441176471,Low
0.024693536,0.063608283,0.006177865,0.00489214,0.41773309,0.052734375,0.171052631,0.492805755,0.007653619,0.021949566,0.470833333,0.516129032,0.386934673,0.518644068,0.335918983,0.273584906,0.042408231,0.362745098,Low
0.007937208,0.060519391,0.005784964,0.000931836,0.383302864,0.0546875,0.350328947,0.428057554,0.049748524,0.017405292,0.458333333,0.59907834,0.206030152,0.46779661,0.353156647,0.320754717,0,0.450980392,Low
0.001322868,0.069214049,0.006948328,0.0244607,0.502132846,0.057942708,0.429276315,0.561151079,0.008746993,0.022230878,0.425,0.707373273,0.188442212,0.491525424,0.326438267,0.481132075,0.022246941,0.470588235,Low
0.029985007,0.081112001,0.008922272,0.024926618,0.319926874,0.0859375,0.53618421,0.741007194,0.004920184,0.021206613,0.433333333,0.585253456,0.193467337,0.46779661,0.308985133,0.528301887,0.01807564,0.480392157,Low
0.023370668,0.096670861,0.011316253,0.06336486,0.46496039,0.091145833,0.277960526,0.629496403,0.066149136,0.032776479,0.491666667,0.559907834,0.32160804,0.593220339,0.439560439,0.669811321,0.05631257,0.617647059,Low
0.045859423,0.082256035,0.00894233,0.014955971,0.676112127,0.080729167,0.419407895,0.625899281,0.030614476,0.039271906,0.445833333,0.550691244,0.150753769,0.444067797,0.368455074,0.08490566,0.089126808,0.117647059,Low
0.01763824,0.065095527,0.006370186,0.023715231,0.625228519,0.053385417,0.378289473,0.651079137,0.001640061,0.092389423,0.279166667,0.529953918,0.203517588,0.498305085,0.410471881,0.518867925,0.015989989,0.480392157,Low
0.024693536,0.045303741,0.003971485,0.008153567,0.582571602,0.036458333,0.55756579,0.834532374,0.094030177,0.037385672,0.3125,0.555299539,0.334170854,0.413559322,0.287653523,0.405660377,0.053531702,0.539215686,Low
0.014992504,0.072417344,0.007679855,0.028374412,0.750152346,0.087890625,0.601973684,0.708633094,0.019134048,0.049280129,0.441666667,0.647465437,0.241206031,0.325423729,0.164188752,0.669811321,0.021551724,0.647058824,Low
0.023811624,0.078251916,0.008279236,0.038251875,0.862279098,0.069661458,0.458881579,0.611510791,0.070850645,0.079632996,0.458333333,0.559907834,0.143216081,0.46440678,0.349709114,0.660377358,0.083426029,0.62745098,Low
0.027162889,0.119437135,0.01627058,0.041932628,0.806825107,0.134114583,0.467105263,0.68705036,0.045047015,0.108698318,0.2625,0.59907834,0.185929649,0.572881356,0.429217841,0.537735849,0,0.480392157,Low
0.064996913,0.068756435,0.006922371,0.024693659,0.5984156,0.063802083,0.648026315,0.791366906,0.083643123,0.041645027,0.495833333,0.481566821,0.027638191,0.413559322,0.268907563,0.490566038,0.02016129,0.470588235,Low
0.033953611,0.079853564,0.008683935,0.011414993,0.826934796,0.08203125,0.751644736,0.589928058,0.108790728,0.041677486,0.291666667,0.525345623,0.138190955,0.562711864,0.425339367,0.716981132,0.095244716,0.637254902,Low
0.008378164,0.105594326,0.013020004,0.020733355,0.876904326,0.100260417,0.761513158,0.568345324,0.01312049,0.045807005,0.258333333,0.53686636,0.113065328,0.522033898,0.334195216,0.820754717,0.013626251,0.735294118,Low
0.016315372,0.09998856,0.012512654,0.058006802,0.670322974,0.116536458,0.666118421,0.456834532,0.026787667,0.076830693,0.241666667,0.562211982,0.248743719,0.488135593,0.297349709,0.764150943,0.063403782,0.745098039,Low
0.032542552,0.07939595,0.008459758,0.017471928,0.622181596,0.072916667,0.700657895,0.712230216,0.119068445,0.06827231,0.408333333,0.495391705,0.143216081,0.410169492,0.237233355,0.716981132,0.033787542,0.656862745,Low
0.013052297,0.062578652,0.00613185,0.015142338,0.724558196,0.06640625,0.671052631,0.758992806,0.062869014,0.081028737,0.3,0.483870968,0.23115578,0.555932203,0.412411118,0.735849057,0.014043382,0.647058824,Low
0.011464856,0.082713648,0.009010763,0.004659181,0.748324193,0.080078125,0.626644737,0.597122302,0.023507544,0.051469315,0.354166667,0.502304147,0.301507538,0.410169492,0.305753071,0.716981132,0.020856507,0.754901961,Low
0.008378164,0.129275827,0.017995568,0.036807529,0.852528946,0.142578125,0.638157895,0.877697842,0.006560245,0.083185464,0.3375,0.571428571,0.33919598,0.447457627,0.341952166,0.537735849,0.025723026,0.637254902,Low
0.031748831,0.105594326,0.012795826,0.022829986,0.613650213,0.092447917,0.705592105,0.81294964,0.041985567,0.111662916,0.4375,0.550691244,0.479899497,0.406779661,0.333548804,0.669811321,0.251529477,0.598039216,Low
0.02575183,0.074362201,0.007646819,0.003680753,0.880560634,0.060546875,0.722039474,0.758992806,0.093592827,0.041381748,0.445833333,0.513824885,0.243718594,0.576271186,0.451842275,0.679245283,0.031423804,0.617647059,Low
0.006261575,0.100102963,0.011810624,0.019615152,0.876904326,0.087239583,0.72368421,0.81294964,0.014104527,0.044050607,0.458333333,0.543778802,0.417085428,0.545762712,0.451842275,0.783018868,0.052002225,0.607843137,Low
0.022576947,0.102276627,0.012633002,0.001397754,0.778184034,0.111328125,0.574013158,0.694244604,0.048983162,0.039084365,0.4,0.668202765,0.35678392,0.4,0.391725921,0.735849057,0.025027809,0.647058824,Low
0.002645736,0.080311177,0.008581286,0.012346829,0.788543571,0.07421875,0.578947368,0.71942446,0.001530724,0.032531233,0.783333333,0.527649769,0.522613066,0.606779661,0.428571429,0.528301887,0.009593993,0.539215686,Low
0.011641238,0.13041986,0.018064002,0.000931836,0.68190128,0.13671875,0.720394736,0.651079137,0.033347912,0.082197265,0.825,0.5,0.57035176,0.627118644,0.67291532,0.641509434,0.00862069,0.558823529,Low
0.000440956,0.091751516,0.010509214,0.005823976,0.667276051,0.086588542,0.585526316,0.748201439,0.007106932,0.024546294,0.654166667,0.596774194,0.404522613,0.647457627,0.630252101,0.688679245,0.006256952,0.637254902,Low
0.00661434,0.080311177,0.008581286,0.065228533,0.568555759,0.07421875,0.654605263,0.723021583,0.00382681,0.041453879,0.579166667,0.548387097,0.439698492,0.701694915,0.659987071,0.669811321,0.005561735,0.568627451,High
0.057059705,0.17194829,0.029464027,0.131295718,0.848872639,0.202473958,0.633223685,0.712230216,0.119396457,0.303067025,0.479166667,0.451612903,0.57035176,0.705084746,0.631544926,0.669811321,0.243186874,0.68627451,Low
0.073992416,0.449834115,0.176261471,0.225317989,0.719073735,0.587890625,0.662828947,0.636690647,0.312705008,0.848780259,0.854166667,0.661290323,0.717336683,0.671186441,0.53070459,0.688679245,0.61512792,0.676470588,Low
0.294294029,0.428211875,0.145205783,0.12440013,0.73857404,0.46484375,0.618421053,0.64028777,0.583643123,0.679610635,0.8125,0.495391705,0.625628141,0.73559322,0.70523594,0.716981132,0.398220245,0.676470588,Low
0.097363083,0.204210045,0.039487129,0.006988771,0.619134674,0.203125,0.611842105,0.730215827,0.423135797,0.285409273,0.429166667,0.578341015,0.653266332,0.813559322,0.74272786,0.669811321,0.465239155,0.617647059,Low
0.007937208,0.153414941,0.023269643,0.010250198,0.604509445,0.136067708,0.618421053,0.776978417,0.02624098,0.081807756,0.841666667,0.589861752,0.663316584,0.640677966,0.50678733,0.716981132,0.048665184,0.656862745,Low
