WLmean_5721442,SFmean_5721442,RFmean_5920012,SFmax_5721442,RHmean_GK48617,TXmin_GK48617,RFmean_6023001,RHmax_GK48617,RFmax_6022062,RFmean_5922001,RFmax_6021010,RFmax_KB48615,RFmean_6021010,RFmax_6122064,RFmax_6121001,RFmax_6120014,RFd5p.d95p_5921009,RFd50mm_5920012,RFd5p.d95p_6022001,RFd1mm.d50mm_6120014,RFd1mm.d50mm_6021013,RFd5p.d95p_6121067,TMd10p.d90p_KB48615,TXd10p.d90p_KB48615,RFd5p.d95p_KB48615,RHd10p_GK48617,RFd5p.d95p_6121015,RFd5p.d95p_6122064,RHd10p.d90p_KB48615,TMd10p.d90p_GK4861,TNd10p.d90p_GK48617,RFd1mm.d50mm_6121001,RFd1mm.d50mm_6021060,RFd1mm.d50mm_6022062,RFd95p_6022001,RHd90p_KB48615,TNd23_KB48615,TNd90p_KB48615,TNd23.d34_KB48615,TNd10p_GK48617,TXd23.d34_GK48617,RHd10p_KB48615,TXd90p_GK48617,TNd90p_GK48617,Cases
0.205697289,0.039905987,0.088151703,0.035425375,0.508226691,0.650943396,0.102594514,0.571428571,0.011526833,0.380952381,0.115013649,0.164818921,0.161721068,0.0081103,0.003060912,0,0,0.285714286,0,0.285714286,0.142857143,0.142857143,1,1,0.142857143,0,1,0,1,1,0.428571429,0,0.142857143,0.142857143,0.2,0.714285714,0.428571429,0,0.428571429,0.428571429,1,0,0,0.142857143,Low
0.230980437,0.050948508,0.069049061,0.083341434,0.539914686,0.575471698,0.183839881,0.718487395,0.002834467,0.066847335,0.114467698,0.235772358,0.201285856,0,0.028466483,0.005529954,0.571428571,0,0.285714286,0.428571429,0,0.285714286,1,1,0,0,0.571428571,0.285714286,0.857142857,1,0.571428571,0.285714286,0.428571429,0.142857143,0,0.428571429,0.714285714,0.142857143,0.285714286,0.428571429,1,0.142857143,0,0,Low
0.331769821,0.09220664,0.046824768,0.080230913,0.335770871,0.716981132,0.243736101,0.319327731,0.002834467,0.143115241,0.065514104,0.394678492,0.111152324,0,0,0.011059908,0.571428571,0.142857143,0.428571429,1,0.857142857,0.142857143,1,1,0,0,0,0,0.714285714,0.428571429,0.857142857,0,0,0,0.4,0.142857143,0,0.142857143,1,0,1,0.285714286,0,0.142857143,Low
0.23750143,0.052049338,0.033872245,0.045507566,0.702010969,0.433962264,0.059303188,0.827731092,0.037792895,0.097431927,0.159053685,0.683665928,0.134767557,0.02919708,0.398530762,0.002764977,1,0,0,0.428571429,0.428571429,0.428571429,0.714285714,1,0.428571429,0,0.285714286,0.428571429,0.857142857,1,0.571428571,0.285714286,0.428571429,0.428571429,0.2,0.571428571,0.428571429,0,0.571428571,0.428571429,1,0.142857143,0,0,Low
0.227662739,0.049571585,0.068117225,0.059580512,0.72638635,0.556603774,0.37879911,0.718487395,0,0.031616983,0.273521383,0.102734664,0.204005935,0,0.067340067,0.013824885,0.714285714,0.142857143,0.571428571,0.285714286,0.142857143,0.571428571,0.571428571,1,0.857142857,0.142857143,0.428571429,0.714285714,0.857142857,1,0.428571429,0.571428571,0.428571429,0.285714286,0.2,0.428571429,0.428571429,0,0.428571429,0.571428571,1,0.142857143,0.142857143,0,Low
0.353620867,0.129618355,0.091832456,0.240266122,0.792809262,0.632075472,0.146182357,0.823529412,0.232804233,0.169570267,0.095905369,0.43902439,0.212166172,0.260746148,0.11325375,0.060460829,0.285714286,0.142857143,0.857142857,0,0.142857143,1,1,1,0.714285714,0.142857143,0.142857143,0.714285714,1,1,1,1,0.857142857,1,0,0.142857143,0.142857143,0.142857143,0.714285714,0,1,0,0,0,Low
0.347786295,0.102568368,0.028607371,0.139374008,0.732480195,0.650943396,0.166048925,0.794117647,0.097316704,0.006452445,0.095541401,0.561714708,0.107566766,0.014193025,0.281603918,0.000921659,0,0,0.714285714,0,0.428571429,0.714285714,1,1,0.428571429,0,0.571428571,0.714285714,0.571428571,0.857142857,1,0.714285714,0.571428571,0.571428571,0,0.142857143,0,0.142857143,1,0,1,0.428571429,0,0,Low
0.204553255,0.039660571,0,0.042116234,0.62400975,0.490566038,0.058561898,0.726890756,0.0574452,0,0,0.045084996,0,0.220600162,0.022956841,0.164976959,0.142857143,0,0.714285714,0,0,0.285714286,0.714285714,0.857142857,0,0,0.571428571,0.142857143,0.285714286,1,0.571428571,0.142857143,0.285714286,0.285714286,0.2,0.428571429,0.142857143,0,0.857142857,0.428571429,1,0.714285714,0.142857143,0,Low
0.185333486,0.032692185,0.056609048,0.027708475,0.505179768,0.632075472,0.036323202,0.62605042,0.123771731,0,0.053139217,0.390243902,0.110286845,0.313057583,0.004591368,0.045529954,0.285714286,0.142857143,0.142857143,0,0.285714286,0.428571429,0.714285714,1,0.142857143,0.142857143,1,0.285714286,0.714285714,1,0.857142857,0.142857143,0.142857143,0,0,0,0,0,1,0.142857143,1,0.285714286,0,0,Low
0.138428097,0.019679261,0.001770489,0.01648684,0.444241316,0.641509434,0.162194218,0.567226891,0.064247921,0.194605756,0.009281165,0.185513673,0.006800198,0.008515815,0,0.073732719,0.285714286,0,0,0,0.571428571,0.142857143,1,1,0.285714286,0,0.571428571,0.428571429,1,1,1,0,0.142857143,0.142857143,0,0.571428571,0,0,1,0,1,0,0,0,Low
